127.0.0.1 - - [23/Nov/2015:09:20:05 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:19 -0500] "GET /PROYECTO_LP2/Index.jsp HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:19 -0500] "GET /PROYECTO_LP2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%203005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/Lenovo%20G400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/HP%20Compaq%20600.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%203010.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/HP%20Compaq%20800.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/Lenovo%20Z500-59.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/Lenovo%20G560.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/HP%20Compaq%201022.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%203080.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/Lenovo%20B50-45.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/HP%20Pavilion%20Dv7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:20 -0500] "GET /PROYECTO_LP2/images/HP%20Pavilion%20Dv6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:21 -0500] "GET /PROYECTO_LP2/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:21 -0500] "GET /PROYECTO_LP2/images/prev-next.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:21 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron%203000.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:21 -0500] "GET /PROYECTO_LP2/images/Dell%20Inspiron%203500.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:21 -0500] "GET /favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/frmCatalogo.jsp HTTP/1.1" 200 18099
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-3000-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-3010-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-3080-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-3500-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-3200-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-4000-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-5200-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/anterior-siguiente.jpg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/anterior.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/siguiente.png HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/portfolio-3.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/Lenovo-G50-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/HP-Pavilion-Dv5-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/portfolio-5.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/HP-Compaq-800-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/portfolio-8.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/portfolio-2.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/HP-Compaq-1022-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/HP-Pavilion-DM3-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/portfolio-13.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:27 -0500] "GET /PROYECTO_LP2/images/portfolio-10.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/portfolio-1.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/lenovo-Esensial-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/portfolio-9.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-Ideapad-Yoga-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-E410-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/lenovo-G95-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-ProBook4420-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-Pavilion-G4-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Dell-Ultrabook-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/LENOVO-U350-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/lenovo-Ideapad-Y550-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-Z500-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-Gamer-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Dell-AndyBrocoli-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Dell-Latitude-520-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-Compaq1234-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/portfolio-12.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/portfolio-11.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-mini-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-5521-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Dell-Inspiron-6020-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-Pavilion-Dv6-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-Pavilion-Dv7-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-B471-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Dell-Vostro-3460-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-Ideapad-S200-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/portfolio-4.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-IdeaPad-500-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Dell-Ultrabook-XPS-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/portfolio-14.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-Pavillion-G-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-Compaq-4000-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-B590-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-B470-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-G400-min.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-EliteBook-840-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/portfolio-6.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-Ideapad-Flex-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/portfolio-7.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/dell1-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-Pavilion-G5-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/Lenovo-N500-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:28 -0500] "GET /PROYECTO_LP2/images/HP-Compaq-600-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:29 -0500] "GET /PROYECTO_LP2/images/HP-Pavilion-Dv6-2-min.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/frmCatalogo.jsp HTTP/1.1" 200 18099
0:0:0:0:0:0:0:1 - - [23/Nov/2015:09:20:43 -0500] "GET /PROYECTO_LP2/images/portfolio-14.jpg HTTP/1.1" 404 1074
